City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
126,harper,1,US,1528143300,38,30.3,-99.24,91.4,3.36
127,merritt island,90,US,1528142880,73,28.54,-80.67,93.2,12.75
128,lorengau,64,PG,1528144913,100,-2.02,147.27,81.32,5.17
129,gavle,0,SE,1528144913,63,60.67,17.14,52.75,16.24
130,port elizabeth,75,US,1528142160,56,39.31,-74.98,75.2,11.41
131,paamiut,92,GL,1528144914,86,61.99,-49.67,41.0,1.36
132,baijiantan,12,CN,1528144729,27,45.63,85.18,57.11,6.85
133,chernyy yar,40,RU,1528142400,100,64.44,40.96,42.8,4.47
134,togur,0,RU,1528144915,90,58.36,82.83,40.73,2.93
135,kodiak,90,US,1528141980,68,39.95,-94.76,69.8,6.93
136,joshimath,20,IN,1528144915,58,30.57,79.57,28.63,1.59
137,opuwo,0,NA,1528144915,37,-18.06,13.84,57.61,7.4
138,faanui,20,PF,1528144916,100,-16.48,-151.75,81.05,14.67
139,uvalde,1,US,1528143300,38,29.21,-99.79,93.2,6.93
140,bandarbeyla,0,SO,1528144916,86,9.49,50.81,78.26,31.79
141,lebu,64,ET,1528144917,96,8.96,38.73,53.51,2.82
142,shache,0,CN,1528144917,39,38.42,77.24,66.88,10.76
143,dothan,1,US,1528142280,33,31.22,-85.39,91.4,16.11
144,saint anthony,1,US,1528142160,27,43.97,-111.68,82.4,16.11
145,alenquer,40,BR,1528142400,74,-1.95,-54.74,87.8,9.17
146,iqaluit,75,CA,1528142400,80,63.75,-68.52,30.2,18.34
147,cabo san lucas,20,MX,1528141740,69,22.89,-109.91,82.4,9.17
148,dalian,20,CN,1528142400,94,19.86,110.11,78.8,2.24
149,severo-kurilsk,0,RU,1528144919,92,50.68,156.12,40.82,2.71
150,yulara,12,AU,1528142400,38,-25.24,130.99,42.8,6.93
151,ekhabi,92,RU,1528144920,86,53.51,142.97,43.84,8.41
152,awbari,100,LY,1528144920,16,26.59,12.77,92.89,7.18
153,fengrun,0,CN,1528144921,50,39.83,118.12,67.51,10.09
154,torbay,75,CA,1528142400,69,47.66,-52.73,37.4,17.22
155,saint-joseph,90,FR,1528144200,88,43.56,6.97,68.0,2.24
156,cortez,1,US,1528141980,12,37.35,-108.58,87.8,9.17
157,sobolevo,64,RU,1528144922,67,54.43,31.9,65.66,16.24
158,saldanha,80,PT,1528144923,68,41.42,-6.55,54.77,7.63
159,nautla,8,MX,1528144923,100,20.22,-96.78,83.26,16.24
160,fuchu,56,JP,1528144923,84,36.65,137.14,57.61,2.37
161,karasuyama,75,JP,1528142400,93,36.65,140.15,62.6,4.7
162,kiruna,80,SE,1528143600,69,67.86,20.23,35.6,12.75
163,lac du bonnet,0,CA,1528144924,53,50.25,-96.06,63.32,8.41
164,iquique,75,CL,1528142400,77,-20.22,-70.14,62.6,19.46
165,lusambo,0,CD,1528144925,49,-4.97,23.44,73.58,3.38
166,east london,64,ZA,1528144670,100,-33.02,27.91,63.19,7.29
167,komsomolskiy,48,RU,1528144926,89,67.55,63.78,22.28,8.86
168,airai,8,TL,1528144926,87,-8.93,125.41,60.98,2.04
169,belaya gora,0,RU,1528144927,75,68.54,146.19,42.08,4.38
